ID de Orden,Fecha de Creación,Productos,Cantidad
6960,02/10/2023 16:18,"Modelo Moran - Negro, 44 - 29,5CM",1
6959,02/10/2023 15:11,"Modelo Moran - Negro, 38 - 25,5CM",1
6957,02/10/2023 14:04,"Modelo Moriarty Full Black - Negro, 37 - 25,0CM",1
6876,29/09/2023 18:25,"Modelo Moran - Negro, 40 - 27,0CM",1
6874,29/09/2023 16:21,"Modelo Moriarty Full Black - Negro, 43 - 29,0CM",1
6873,29/09/2023 13:57,"Modelo Moran - Negro, 41 - 27,5CM",1
6870,27/09/2023 20:25,"Modelo Moriarty - Negro / Marrón, 41 - 27,5CM",1
6868,27/09/2023 17:13,"Modelo Moriarty Full Black - Negro, 43 - 29,0CM",1
6866,26/09/2023 17:38,"Modelo Moriarty Full Black - Negro, 42 - 28,5CM",1
6865,26/09/2023 12:54,"Modelo Moran - Negro, 42 - 28,5CM",1
6863,26/09/2023 06:37,"Modelo Moriarty Full Black - Negro, 42 - 28,5CM",1
6862,25/09/2023 22:10,"Modelo Moriarty Full Black - Negro, 41 - 27,5CM",1
6860,25/09/2023 14:58,"Modelo Moran - Negro, 42 - 28,5CM",1
6859,25/09/2023 14:55,"Modelo Moran - Negro, 42 - 28,5CM",1
6856,24/09/2023 16:54,"Modelo Moran - Negro, 42 - 28,5CM",1
6819,23/09/2023 01:32,"Modelo Moriarty - Negro / Marrón, 42 - 28,5CM",1
6787,22/09/2023 16:22,"Modelo Moriarty Full Black - Negro, 45 - 30,0CM",1
6786,22/09/2023 15:14,"Modelo Moran - Negro, 42 - 28,5CM",1
6771,21/09/2023 06:56,"Modelo Moriarty - Negro / Marrón, 41 - 27,5CM",1
6763,20/09/2023 11:04,"Modelo Moriarty - Negro / Marrón, 43 - 29,0CM",1
6761,19/09/2023 16:31,"Modelo Moriarty - Negro / Marrón, 42 - 28,5CM",1
6759,19/09/2023 15:53,"Modelo Moriarty - Negro / Marrón, 39 - 26,0CM",1
6757,19/09/2023 11:29,"Modelo Darryl - 43 - 28,5CM",1
6748,18/09/2023 18:21,"Modelo Moriarty - Negro / Marrón, 41 - 27,5CM",1
6712,16/09/2023 19:24,"Modelo Darryl - 41 - 27,0CM",1
6707,14/09/2023 23:07,"Modelo Darryl - 41 - 27,0CM",1
6706,14/09/2023 20:12,Modelo Moran Talle 45,1
6703,14/09/2023 13:03,"Modelo Moriarty Full Black - Negro, 43 - 29,0CM",1
6702,14/09/2023 12:40,"Modelo Moran - Negro, 41 - 27,5CM",1
6700,14/09/2023 09:15,"Modelo Moriarty - Negro / Marrón, 41 - 27,5CM",1
6697,13/09/2023 21:17,"Modelo Moran - Negro, 40 - 27,0CM",1
6696,13/09/2023 18:28,"Modelo Darryl - 42 - 27,5CM",1
6680,11/09/2023 11:45,"Modelo Moriarty Full Black - Negro, 40 - 27,0CM",1
6679,11/09/2023 11:16,"Modelo Moriarty - Negro / Marrón, 43 - 29,0CM",1
6676,10/09/2023 14:38,"Modelo Moriarty - Negro / Marrón, 42 - 28,5CM",1
6675,10/09/2023 12:19,"Modelo Moran - Negro, 39 - 26,0CM",1
6673,09/09/2023 15:51,"Modelo Moriarty Full Black - Negro, 40 - 27,0CM",1
6664,08/09/2023 14:34,"Modelo Moran - Negro, 41 - 27,5CM",1
6656,07/09/2023 21:34,"Modelo Moriarty - Negro / Marrón, 38 - 25,5CM",1
6641,05/09/2023 17:50,"Modelo Moran - Negro, 41 - 27,5CM",1
6638,05/09/2023 15:45,"Modelo Darryl - 41 - 27,0CM",1
6635,05/09/2023 11:43,"Modelo Moriarty Full Black - Negro, 42 - 28,5CM",1
6611,04/09/2023 15:50,"Modelo Moran - Negro, 42 - 28,5CM",1
6610,04/09/2023 15:44,"Modelo Moran - Negro, 41 - 27,5CM",1
6609,04/09/2023 15:10,"Modelo Moriarty Full Black - Negro, 41 - 27,5CM",1
6608,04/09/2023 15:05,"Modelo Moran - Negro, 42 - 28,5CM",1
6607,04/09/2023 15:04,"Modelo Moran - Negro, 42 - 28,5CM",1
6605,04/09/2023 14:52,"Modelo Moran - Negro, 41 - 27,5CM",1
6604,04/09/2023 14:47,"Modelo Darryl - 43 - 28,5CM",1
6490,01/09/2023 18:54,Modelo Moriarty Talle 44,1
6486,31/08/2023 11:46,"Modelo Moran - Negro, 44 - 29,5CM",1
6478,29/08/2023 16:40,"Modelo Moran Arena - Arena, 37 - 25,0CM",1
6477,29/08/2023 16:04,"Modelo Moran - Negro, 36 - 24,0CM",1
6451,27/08/2023 08:30,"Modelo Moriarty Full Black - Negro, 39 - 26,0CM",1
6439,25/08/2023 18:46,"Modelo Moriarty Full Black - Negro, 43 - 29,0CM",1
